time cls x y yaw
7.191 9 -0.0019432054331303971 1.4231103181867495 0.00028890193305138414
7.191 9 5.787990480851818 -3.3865414929654847 2.0956822697190938
7.19 9 7.565716397641164 5.47935257483005 -2.6169023693165157
7.191 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
7.19 2 4.48616 2.69491 -1.9784700000000017
7.191 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
7.19 5 3.0 -0.014978 0.8770609999999999
7.19 10 1.4578492992654895 -7.424885298015281 -1.5686540625873777
7.191 10 2.45674165963597 -3.5884788400379914 1.5864764994324863
7.191 12 4.5696421246225984 0.39508418176437154 1.2757898504906473
7.19 11 1.8978236954106906 -1.0063023423718702 1.471095845361324
7.191 13 2.906082007638235 4.546171225222339 1.693775909649437
