time cls x y yaw
8.688 9 -0.0017269600882396906 0.6746103494224506 0.00028890794779998366
8.691 9 6.372122725298573 -3.048289337026106 2.095682269719093
8.69 9 7.2651494119154565 5.998640055031192 -2.616902369317238
8.69 1 5.3557600000003855 2.0121399999997522 2.278259303142958e-19
8.691 2 4.48616 2.69491 -1.9784700000000017
8.688 4 5.783039999998881 -1.0753899999955538 0.22557199999999927
8.691 5 3.0 -0.014978 0.8770609999999999
8.691 10 1.4570650319378644 -7.423604802582885 -1.5412190282497786
8.689 10 2.4449976927689945 -2.8395709156248183 1.5864765043522182
8.691 12 4.787701659616689 1.1126843763002905 1.2757898504906473
8.69 11 1.9127499066545317 -0.8570809043450218 1.470759615527248
8.691 13 2.8829127298525563 4.5335814431094255 2.4437737647552202
