time cls x y yaw
0.499 9 -0.002909826285771243 4.769110178564011 0.0002888750424132602
0.499 9 3.181981827625041 -4.895597111328646 2.095682269717541
0.499 9 8.906445531957349 3.1629842214791344 -2.6169023693168834
0.499 1 5.3557600000003855 2.0121399999997522 2.317264474147183e-19
0.499 2 4.48616 2.69491 -1.9784700000000017
0.499 4 5.783039999998879 -1.0753899999953918 0.22557199999999927
0.499 5 3.0 -0.014978 0.8770609999999999
0.499 10 1.5082726845941918 -4.225958940000948 -1.5861544402128303
0.499 10 2.5088683380096635 -6.9294833688207484 1.5863079306875085
0.499 12 3.5968058462213794 -2.80636952796031 1.2757898504886491
0.499 11 1.856061506354372 -1.6032292496499885 1.5246676850042586
0.499 13 2.9075528214207824 4.474564085176726 -1.652223443223216
